STATION,NAME,LATITUDE,LONGITUDE,Total_Days,Ideal_Days,Percent_Ideal
USC00304209,"JAY, NY US",44.3498,-73.7151,14,2,14.285714285714285
USC00304555,"LAKE PLACID 2 S, NY US",44.3042,-73.9839,534,177,33.146067415730336
USC00304575,"LANSING MANOR, NY US",42.4486,-74.4653,398,162,40.7035175879397
USC00304731,"LIBERTY 1 NE, NY US",41.8017,-74.74,598,222,37.12374581939799
USC00304808,"LITTLE VALLEY, NY US",42.2473,-78.8125,602,208,34.55149501661129
USC00304844,"LOCKPORT 2 SE, NY US",43.1521,-78.65342,587,216,36.79727427597956
USC00304912,"LOWVILLE, NY US",43.7929,-75.4829,602,220,36.544850498338874
USC00304952,"MACEDON LOCK E30, NY US",43.0731,-77.30196,292,90,30.82191780821918
USC00304996,"MALONE, NY US",44.8418,-74.306,602,187,31.06312292358804
USC00305113,"EMMONS, NY US",42.4694,-75.0105,243,79,32.510288065843625
USC00305142,"MATTITUCK, NY US",40.98849,-72.51034,447,175,39.14988814317674
USC00305233,"MECKLENBURG 4 SW, NY US",42.44212,-76.75761,602,221,36.7109634551495
USC00305280,"MEXICO 2 SW, NY US",43.43833,-76.26565,361,130,36.011080332409975
USC00305426,"MOHONK LAKE, NY US",41.77196,-74.15366,242,86,35.53719008264463
USC00305512,"MORRISVILLE 6 SW, NY US",42.8416,-75.7263,602,200,33.222591362126245
USC00305597,"MOUNT MORRIS 2 W, NY US",42.7313,-77.9054,597,222,37.185929648241206
USC00305606,"MOUNT SINAI, NY US",40.933,-73.0191,361,89,24.653739612188367
USC00305714,"NEWCOMB, NY US",43.9707,-74.222,596,189,31.711409395973156
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,226,44,19.469026548672566
USC00306047,"NORTH TONAWANDA, NY US",43.05734,-78.86171,602,239,39.70099667774086
USC00306085,"NORWICH, NY US",42.5117,-75.5197,565,209,36.991150442477874
USC00306164,"OGDENSBURG 4 NE, NY US",44.7281,-75.4442,460,165,35.869565217391305
USC00306184,"OLD FORGE, NY US",43.71263,-74.96943,47,7,14.893617021276595
USC00306196,"OLEAN, NY US",42.0737,-78.4518,602,191,31.727574750830566
USC00306276,"ORIENT POINT STATE PARK, NY US",41.1321,-72.2584,601,172,28.618968386023298
USC00306314,"OSWEGO, NY US",43.44991,-76.53685,602,208,34.55149501661129
USC00306525,"PERRYSBURG, NY US",42.4647,-79.003,602,225,37.37541528239203
USC00306538,"PERU 2 WSW, NY US",44.56551,-73.57042,329,88,26.74772036474164
USC00306747,"PORTLAND 1 SW, NY US",42.3717,-79.4866,602,203,33.72093023255814
USC00306774,"PORT JERVIS, NY US",41.3891,-74.6905,600,230,38.333333333333336
USC00306867,"PULASKI, NY US",43.5696,-76.1163,585,225,38.46153846153847
USC00307134,"RIVERHEAD RESEARCH FARM, NY US",40.96245,-72.71612,602,170,28.23920265780731
USC00307210,"ROCK HILL 3 SW, NY US",41.5916,-74.6143,299,95,31.77257525083612
USC00307383,"ST. JAMES, NY US",40.88807,-73.14134,117,37,31.62393162393162
USC00307484,"SARATOGA SPRINGS 4 SW, NY US",43.0413,-73.82126,575,196,34.08695652173913
USC00307520,"SCHOHARIE, NY US",42.665,-74.3036,382,126,32.98429319371728
USC00307705,"SHERBURNE, NY US",42.6773,-75.5066,599,218,36.39398998330551
USC00307742,"SHRUB OAK, NY US",41.3325,-73.837,600,236,39.33333333333333
USC00307842,"SODUS 1 W, NY US",43.2359,-77.0841,597,231,38.69346733668342
USC00308035,"SOUTH RUSSELL, NY US",44.3755,-75.1221,113,31,27.43362831858407
USC00308248,"STILLWATER RESERVOIR, NY US",43.89131,-75.03612,392,116,29.591836734693878
USC00308455,"THERESA 4 NW, NY US",44.27543,-75.83689,479,152,31.732776617954073
USC00308577,"SYOSSET, NY US",40.8216,-73.4908,596,206,34.56375838926174
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,566,203,35.86572438162544
USC00308631,"TUPPER LAKE SUNMOUNT, NY US",44.2307,-74.4382,477,145,30.398322851153043
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",40.8656,-72.8643,602,235,39.03654485049834
USC00308839,"VICTOR 2 NW, NY US",43.00299,-77.4484,391,130,33.248081841432224
USC00308910,"WALES, NY US",42.7211,-78.5437,601,200,33.277870216306155
USC00308932,"WALTON 2, NY US",42.1847,-75.1455,568,199,35.03521126760563
USC00308962,"WARSAW 6 SW, NY US",42.6855,-78.2202,602,211,35.04983388704319
USC00309000,"WATERTOWN, NY US",43.9761,-75.8753,602,219,36.37873754152824
USC00309047,"WAVERLY, NY US",42.00193,-76.52497,540,191,35.37037037037037
USC00309049,"WEBSTER 2 NE, NY US",43.2419,-77.3882,602,242,40.19933554817276
USC00309072,"WELLSVILLE, NY US",42.1173,-77.9475,602,219,36.37873754152824
USC00309292,"WEST POINT, NY US",41.3906,-73.9608,216,74,34.25925925925926
USC00309389,"WHITEHALL, NY US",43.5575,-73.4011,526,180,34.22053231939163
USC00309442,"WHITNEY POINT DAM, NY US",42.3419,-75.9653,572,220,38.46153846153847
USC00309580,"WORLD TRADE CENTER, NY US",40.7104,-74.0142,129,19,14.728682170542637
USC00309593,"WYOMING 3 W, NY US",42.82025,-78.14782,602,235,39.03654485049834
USC00309690,"YOUNGSTOWN 1 S, NY US",43.23472,-79.05109,44,27,61.36363636363637
USR0000NGAN,"GANG MILLS NEW YORK, NY US",42.1,-77.1,602,208,34.55149501661129
USR0000NSAR,"SARA NEW YORK, NY US",43.0078,-73.6511,482,160,33.19502074688796
USR0000NSCH,"SCHROON LAKE NEW YORK, NY US",43.8,-73.7,602,204,33.88704318936877
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,602,211,35.04983388704319
USR0000NSTO,"STONYKILL NEW YORK, NY US",41.5,-73.9,602,217,36.04651162790697
USW00004720,"JAMESTOWN, NY US",42.15,-79.25,561,209,37.254901960784316
USW00004724,"NIAGARA FALLS INTERNATIONAL AIRPORT, NY US",43.1083,-78.93818,573,212,36.99825479930192
USW00004725,"BINGHAMTON GREATER AP, NY US",42.20678,-75.97993,602,201,33.38870431893688
USW00004781,"ISLIP LI MACARTHUR AIRPORT, NY US",40.79389,-73.10181,602,192,31.893687707641195
USW00004789,"MONTGOMERY ORANGE CO AIRPORT, NY US",41.50908,-74.26458,597,234,39.19597989949749
USW00014719,"WESTHAMPTON GABRESKI AIRPORT, NY US",40.85055,-72.61928,577,198,34.31542461005199
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,602,133,22.093023255813954
USW00014733,"BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US",42.93998,-78.73606,602,216,35.880398671096344
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79913,602,205,34.053156146179404
USW00014743,"CANTON 4 SE, NY US",44.5772,-75.1097,231,65,28.13852813852814
USW00014747,"DUNKIRK CHAUTAUQUA CO AIRPORT, NY US",42.4932,-79.27623,600,199,33.166666666666664
USW00014748,"ELMIRA CORNING REGIONAL AIRPORT, NY US",42.15658,-76.90291,602,211,35.04983388704319
USW00014750,"GLENS FALLS FLOYD BENNETT MEMORIAL AIRPORT, NY US",43.33849,-73.61024,602,216,35.880398671096344
USW00014757,"POUGHKEEPSIE HUDSON VALLEY REGIONAL AIRPORT, NY US",41.62574,-73.88155,602,216,35.880398671096344
USW00014768,"FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US",43.11723,-77.67539,602,203,33.72093023255814
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.10384,602,218,36.21262458471761
USW00054746,"MONTICELLO SULLIVAN, NY US",41.70139,-74.795,459,180,39.21568627450981
USW00054757,"WELLSVILLE MUNICIPAL AIRPORT, NY US",42.10775,-77.98424,601,217,36.10648918469218
USW00054773,"FULTON OSWEGO CO AIRPORT, NY US",43.35037,-76.38316,602,215,35.714285714285715
USW00054778,"PENN YAN AIRPORT, NY US",42.64405,-77.05286,600,224,37.333333333333336
USW00054780,"MONTAUK AIRPORT, NY US",41.073056,-71.923505,601,146,24.292845257903494
USW00054787,"FARMINGDALE REPUBLIC AIRPORT, NY US",40.73443,-73.41637,601,173,28.785357737104828
USW00054790,"SHIRLEY BROOKHAVEN AIRPORT, NY US",40.82121,-72.86742,601,191,31.78036605657238
USW00064756,"MILLBROOK 3 W, NY US",41.7857,-73.7422,601,226,37.60399334442596
USW00064758,"ITHACA 13 E, NY US",42.4401,-76.2462,592,207,34.96621621621622
USW00064775,"ROME GRIFFISS AIRFIELD, NY US",43.22417,-75.39563,601,210,34.94176372712147
USW00064776,"PLATTSBURGH INTERNATIONAL AIRPORT, NY US",44.63923,-73.46312,600,198,33.0
USW00094704,"DANSVILLE MUNICIPAL AIRPORT, NY US",42.56985,-77.71426,602,208,34.55149501661129
USW00094725,"MASSENA INTERNATIONAL AIRPORT, NY US",44.93341,-74.84836,602,180,29.900332225913623
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,602,139,23.089700996677742
USW00094740,"SARANAC LAKE ADIRONDACK REGIONAL AIRPORT, NY US",44.39279,-74.20288,602,176,29.2358803986711
USW00094745,"WESTCHESTER CO AIRPORT, NY US",41.06236,-73.70454,598,204,34.11371237458194
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.7639,602,181,30.066445182724255
USW00094790,"WATERTOWN INTERNATIONAL AIRPORT, NY US",43.98872,-76.02609,601,202,33.61064891846922
